AcresBurned,AdminUnit,ConditionStatement,Counties,CountyIds,Extinguished,Injuries,Latitude,Longitude,Location,Name,PercentContained,PersonnelInvolved,SearchDescription,Status,UniqueId,ArchiveYear,Started,Ended,Cord,Fahrenheit,Month_Number,Month
22.0,CAL FIRE SCU,,Alameda,1,2019-07-12T19:20:00Z,,37.093243,-121.586846,"patterson pass and mid way, eastern",Mid Fire,100.0,,"The Mid Fire started July 12 2019 near Patterson Pass and Mid Way, Eastern (Alameda County)",Finalized,3fc9ae75-8844-43a5-8330-6956cdb6e3a7,2019,7,7,"(37.093243, -121.586846)",70.3,7.0,July
15.0,CAL FIRE Santa Clara Unit,,Contra Costa,7,,,38.045866,-122.245186,"San Pablo Ave and Cummings Skyway, Crockett",Nustar Fire,100.0,,"The Nustar vegetation fire started October 15, 2019 off San Pablo Ave and Cummings Skyway, Crockett in Contra Costa County. Lead agency on petroleum fire: NuStar Energy and Crockett Fire Protection District.",Finalized,0baff961-3ce3-45ec-80f1-a72957f2f3f4,2019,10,10,"(38.045866, -122.245186)",64.2,10.0,October
12.0,CAL FIRE / Riverside County Fire,,Riverside,33,2019-08-27T08:54:00Z,,33.463991,-116.914799,"near the intersection of Sage Road and Highway 79, in Aguanga",Sage Fire,100.0,,"The Sage Fire started on August 27, 2019 near the intersection of Sage Road and Highway 79, in Aguanga in Riverside County.",Finalized,faf6064e-fc50-4289-8486-1235f20289d7,2019,8,8,"(33.463991, -116.914799)",87.7,8.0,August
10.0,MEU,,Mendocino,23,,,39.613783000000005,-123.45878200000001,"Highway 101 south of Sloan and Old Sherwood Road in Willits, California",Wilson Fire,100.0,,"The Wilson Fire started on October 4th, 2019 near Highway 101, south of Sloan and Old Sherwood Road in Willits, California.",Finalized,1dd6f339-956d-4ec5-bac5-713ba3cd53d4,2019,10,10,"(39.613783000000005, -123.45878200000001)",56.7,10.0,October
10.0,CAL FIRE San Mateo-Santa Cruz Unit,,Santa Cruz,44,2019-09-06T19:48:00Z,,37.178353,-122.07743,"Deer Creek Road and Rons Road, northeast of Boulder Creek",Deer Fire,100.0,,"The Deer Fire started September 3, 2019 off Deer Creek Road and Rons Road, northeast of Boulder Creek in Santa Cruz County.",Finalized,23f65de3-bf4d-4edf-a5eb-b21299195b0f,2019,9,9,"(37.178353, -122.07743)",68.4,9.0,September
77758.0,CAL FIRE Sonoma-Lake-Napa Unit,"<p>All evacuations have been lifted at this time; however, the Sonoma County Public Health Order is still in place. For any inquiries about this health order, please visit <a href=""https://tinyurl.com/sonomacountypublichealthorder"">https://tinyurl.com/sonomacountypublichealthorder</a>.
<P>
For recovery information please visit <a href=""http:www.socoemergency.org"">www.socoemergency.org</a> or call 211
<p>
The County of Sonoma is also working to establish processes for safe debris
removal. For more information on the recovery process: <b>Call 211 or 1-800-325-9604</b>
<P>
<B>
For information on returning home after a wildfire:
<a href=""https://tinyurl.com/calfirereturnhome"">https://tinyurl.com/calfirereturnhome</a>
<P>
For gas and electric safety information tips:
<a href=""https://www.pge.com/returninghome"">https://www.pge.com/returninghome</a>
<P>
For information on AT&T internet and phone services:
<a href=""https://www.att.com/capoweroutage"">www.att.com/capoweroutage</a>
<P>
<P>
</B>
<p>
<p><b>Local Assistance Center (LAC):</b>: Healdsburg Community Center, 1557 Healdsburg Ave., Healdsburg, CA 95448. 
<p>
<p><b><p>To view the interactive map for Sonoma, Napa or Lake county please visit the following site: <a href=""https://tinyurl.com/kincadeincidentmap"">Kincade Incident Map</a> </b>

<p>
New Kincade Fire Evacuation Warning and Order Update (11/03/19 @3:00PM) <a href=""https://fire.ca.gov/media/10050/11319_1500_repop.pdf"">https://fire.ca.gov/media/10050/11319_1500_repop.pdf</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (11/02/19 @3:00PM) <a href=""https://www.fire.ca.gov/media/10046/new-kincade-fire-evacuation-repopulation-information-11219_.pdf"">https://www.fire.ca.gov/media/10030/kincade-fire-11119_1300_repop.pdf</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (11/01/19 @1:00PM) <a href=""https://www.fire.ca.gov/media/10030/kincade-fire-11119_1300_repop.pdf"">https://www.fire.ca.gov/media/10030/kincade-fire-11119_1300_repop.pdf</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (10/31/19 @2:00PM) <a href=""https://www.fire.ca.gov/media/10019/103119repopulation.pdf"">https://www.fire.ca.gov/media/10019/103119repopulation.pdf,</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (10/28/19 @6:00PM) <a href=""https://www.fire.ca.gov/media/9999/102819-kincade-fire-evacuation-warning-lake-county.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>

<P>

New Kincade Fire Evacuation Warning and Order Update (10/28/19 @2:00PM) <a href=""https://gallery.mailchimp.com/1eab3f5545f6a6e4d33c94dcb/files/cae59ba9-f7ca-4481-b593-3dfa2851ab55/10.28.19_1300_repop_7.8_s.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>
<P>

New Kincade Fire Evacuation Warning and Order Update (10/27/19 @12:45PM) <a href=""https://www.fire.ca.gov/media/9990/102719_1245_evac_o_napa.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>
<P>

New Kincade Fire Evacuation Warning and Order Update (10/27/19 @4:30AM) <a href=""https://www.fire.ca.gov/media/9986/102719_0430_evac_o.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>
<p>

New Kincade Fire Evacuation Warning and Order Update (10/26/19 @6:30PM) <a href=""https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf"">https://www.fire.ca.gov/media/9981/102619_1830_evac_ow.pdf</a>
<p>

New Kincade Fire Evacuation Warning and Order Update (10/26/19 @10AM): <a href=""https://www.fire.ca.gov/media/9980/102619_1000_evac_o.pdf"">https://www.fire.ca.gov/media/9980/102619_1000_evac_o.pdf</a>",Sonoma,49,2019-11-06T19:00:00Z,4.0,38.792458,-122.78005300000001,"John Kincade Road and Burned Mountain Road, northeast of Geyserville",Kincade Fire,100.0,55.0,"The Kincade Fire started on October 23, 2018 off John Kincade Road and Burned Mountain Road, northeast of Geyserville in Sonoma County",Finalized,809d101c-8aa3-4a53-bf20-f38ae7ec7941,2019,10,11,"(38.792458, -122.78005300000001)",60.8,10.0,October
54612.0,USFS Plumas National Forest,,Plumas,32,,,40.061389,-120.68055600000001,"Indian Creek and Beckworth Genesee Road, east of Genesee",Walker Fire,100.0,468.0,"The Walker Fire started September 4, 2019 off Indian Creek and Beckworth Genesee Road, east of Genesee in Plumas County.",Finalized,3a48b649-8714-433d-9952-ff2bf9e8c90a,2019,9,10,"(40.061389, -120.68055600000001)",56.7,9.0,September
14217.0,Modoc National Forest,(Not a CAL FIRE Incident). CAL FIRE is assisting Modoc National Forest with air and ground resources.,Modoc,25,2019-08-11T12:16:00Z,,41.79591,-121.260305,"Hwy 139 and Tucker Butte Rd, 6 miles SW of Clear Lake Reservoir",Tucker Fire,100.0,,"The Tucker Fire started on July 28, 2019 off Hwy 139 and Tucker Butte Rd, 6 miles SW of Clear Lake Reservoir in Modoc County.",Finalized,2939928b-0308-4d76-b232-246f064ddd11,2019,7,9,"(41.79591, -121.260305)",66.0,7.0,July
10296.0,Inyo National Forest     ,,Inyo,14,2019-11-21T16:09:00Z,,37.034,-118.345,south west of Big Pine and north west of Aberdeen,Taboose Fire,100.0,269.0,"Taboose Fire started on September 4, 2019 south west of Big Pine and north west of Aberdeen in Inyo County.",Finalized,e7ea56c5-4290-4406-b0a5-c9d1718e9700,2019,9,1,"(37.034, -118.345)",72.5,9.0,September
9999.0,Ventura County Fire Department ,,Ventura,56,2019-11-06T18:00:00Z,,34.302212,-118.997115,"off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula",Maria Fire ,100.0,626.0,"Maria Fire started on October 31, 2019 off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula in Ventura County.",Finalized,31852a71-e639-496f-9e7d-0968d1c218b3,2019,10,11,"(34.302212, -118.997115)",60.1,10.0,October
8838.0,CAL FIRE Tehama Glenn Unit ,"Today, firefighters are preparing for significant weather change that will last through Friday. Temperatures will be significantly hotter and drier with light winds from the north. Due to the remote location of the fire, approximately 60 firefighting crews will be transported by helicopter to further enhance fire suppression efforts continuing to close in on containment lines.

<p> CAL FIRE IMT 5 is working in conjunction with the United States Forest Service and CIIMT 16 resources, and has assumed suppression responsibilities for State Responsibility Area land located south of Cottonwood Creek. The total number of resources stated above includes both Branch Ten of the South Fire and the Red Bank Fire incident.

<p> Motorists should drive cautiously and always yield to emergency vehicles that are traveling on and off of the roads and highways. Fire danger remains elevated and everyone should continue to use extreme caution and refrain from daily activities that may spark a wildland fire. “Ready, Set, Go” is a user-friendly website that shows homeowners step-by-step instructions for hardening their homes and protecting their families from the dangers of wildfires. For more information, visit www.readyforwildfire.org.",Tehama,52,2019-09-13T19:00:00Z,,40.12,-122.64,"Off Hammer Loop Road and Petty John Road, West of Red Bluff ",Red Bank Fire,100.0,1936.0,"Red Bank Fire started on September 5, 2019 off Hammer Loop Road and Petty John Road, West of Red Bluff in Tehama County.",Finalized,14ad161c-bfc6-41ae-af84-a464084a4142,2019,9,9,"(40.12, -122.64)",68.3,9.0,September
8799.0,Unified Command: Los Angeles County Fire Department and Los Angeles City Fire Department and Angeles National Forest,"<p>Firefighters from The Los Angeles City Fire Department, The Los Angeles County Fire Department, and
Angeles National Forest have made significant progress working in their respective jurisdictions with
support from assisting agencies to increase containment lines and address hot spots. 

<p>Tactical patrols will remain in place to monitor the area as low humidity and northerly winds remain a concern through Wednesday with the strongest gusts expected tonight and tomorrow morning. 

<p>The public is reminded to please drive cautiously and yield to emergency personnel working around the burn area.

<p>The cause of the Saddle Ridge Fire remains under active investigation.

<p>This will be the “Final” update on this incident in this format. Any additional updates will be distributed through each jurisdiction’s normal platforms.

<p>Please be advised, due to decreased requests for assistance, demobilization of the Local Assistance Center (LAC) has begun. County and State agencies will be released at the closure of the LAC today, October 21, 2019. However, all LA City agencies will provide Saddle Ridge Fire recovery resources at the Sylmar Recreation Center until Tuesday, October 22, 2019 ending at 7:00pm. After the closure of the LAC, 211 will continue to provide recovery assistance information and referrals.

<p>Sylmar Recreation Center.
<p>Dates: Thursday, October 17, 2019 - Saturday, October 22, 2019
<p>Hours of Operation: (Monday - Tuesday) 9:30am to 7:00pm
<p>Public call 213-213-5228 or visit lacity.org/recovery
<p>
To ensure the safety of both the public and first responders, the Angeles NF has closed a section of the forest due to the fire.
Please refer to go.usa.gov/xVzN5.",Los Angeles,19,2019-10-31T09:10:00Z,8.0,34.329879999999996,-118.48161,"Saddle Ridge Rd, Sylmar",Saddle Ridge Fire,100.0,206.0,"The Saddle Ridge Fire started October 10, 2019 off Saddle Ridge Rd, Sylmar in Los Angeles County.",Finalized,c52717d6-0297-4c5b-a0f1-f17abcd7ac27,2019,10,11,"(34.329879999999996, -118.48161)",64.3,10.0,October
5737.0,USFS - Modoc National Forest,,Modoc,25,2019-09-13T07:19:00Z,,41.748000000000005,-121.056,"Pinnacle Lake, Doublehead Ranger district, Modoc National Forest",Lone Fire,100.0,40.0,"The Lone Fire started on September 4, 2019 in the Modoc National Forest in Modoc County.",Finalized,81977367-45ad-4962-92f3-ae30f22ef723,2019,9,9,"(41.748000000000005, -121.056)",55.3,9.0,September
5563.0,CAL FIRE Madera Mariposa Merced Unit,"Highway 140 is open; please drive cautiously. Smoke will be visible within the fires boundary for potentially several weeks. This is the final update.

<p>Yosemite National Park remains open. For information on Yosemite National Park, go to nps.gov/yose or call 209-372-0200.

<p>Evacuations: All Mandatory Evacuation Orders and Fire advisements have been lifted. Buffalo Gulch Road is open.",Mariposa,22,,,37.604638,-119.96606000000001,Highway 140 and Briceburg Bridge Road north of Midpines ,Briceburg Fire,100.0,19.0,"The Briceburg Fire started October 6, 2019 off of Highway 140 and Briceburg Bridge Road north of Midpines in Mariposa County.",Finalized,e7aeb204-15af-4a2a-8f2a-bfd2c8dbe411,2019,10,10,"(37.604638, -119.96606000000001)",56.4,10.0,October
5332.0,Shasta-Trinity National Forest ,,Tehama,52,2019-12-02T16:12:00Z,,40.109,-122.789,"Southeast aspect of Tomhead Mountain, South of Platina",South Fire,100.0,,"South Fire started on September 5, 2019 Southeast aspect of Tomhead Mountain, South of Platina in Tehama County.",Finalized,38d46a2f-d1f6-4ed8-a502-e57e393844ea,2019,9,1,"(40.109, -122.789)",68.3,9.0,September
4840.0,USFS - Inyo National Forest,,Mono,26,,,37.826,-118.87200000000001,"southeast of Lee Vining, CA",Springs Fire,100.0,,"The Spring Fire started on uly 26th, 2019 13 miles southeast of Lee Vinning, CA in Mono County.",Finalized,226da8c8-26c0-49d7-b5ef-952cd969f918,2019,9,10,"(37.826, -118.87200000000001)",54.1,9.0,September
4615.0,Los Angeles County Fire Department ,"<p> For Evacuation Information <a href=""https://twitter.com/SCVSHERIFF"">Santa Clarita Valley Sheriff</a>",Los Angeles,19,,,34.472778000000005,-118.36805600000001,"Tick Canyon Rd and Summit Knoll Rd, Canyon Country",Tick Fire,100.0,509.0,"The Tick Fire started October 24, 2019 off Tick Canyon Rd and Summit Knoll Rd, Canyon Country in Los Angeles County.",Finalized,020310d3-7834-4f57-a125-eff0eb3f54e5,2019,10,10,"(34.472778000000005, -118.36805600000001)",64.3,10.0,October
3435.0,USFS El Dorado National Forest,,El Dorado,9,,,38.724000000000004,-120.145,Northern ridge above Caples Creek north of Highway 88,Caples Fire,100.0,,"The Caples Fire started October 11, 2019 off Northern ridge above Caples Creek north of Highway 88 in El Dorado county.",Finalized,451c3012-2831-44c1-8fc7-146fd02d2ce0,2019,10,11,"(38.724000000000004, -120.145)",54.8,10.0,October
3380.0,Bureau of Land Management ,,Lassen,18,2019-09-04T16:22:00Z,,40.593,-120.581,"Hagata Canyon, east of Eagle Lake",R-1 Fire,100.0,,,Finalized,4ee8f023-1c92-4266-bb79-d41fdb3a5826,2019,8,9,"(40.593, -120.581)",67.3,8.0,August
3126.0,Los Padres National Forest,"The Cave Fire is no longer a CAL FIRE Incident. Please visit <a href=""https://inciweb.nwcg.gov/incident/6662/"">https://inciweb.nwcg.gov/incident/6662/</a> for the latest information on the Cave Fire.",Santa Barbara,42,2019-12-14T08:22:00Z,,34.5025,-119.785,Highway 154 and E Camino Cielo near Painted Cave in the Los Padres National Forest,Cave Fire (No Longer a CAL FIRE Incident),100.0,,"The Cave Fire started November 25, 2019 near Highway 154 and E Camino Cielo near Painted Cave in the Los Padres National Forest.",Finalized,7555692b-f672-4660-8f15-d0dab068a193,2019,11,12,"(34.5025, -119.785)",56.1,11.0,November
2546.0,CAL FIRE San Benito-Monterey Unit,,Monterey,27,2019-06-26T18:02:00Z,,36.284259999999996,-120.94771000000001,"Lonoak Rd & Airline Hwy, East of King City  ",Lonoak Fire,100.0,,"The Lonoak Fire off Lonoak Rd & Airline Hwy, east of King City in Monterey County

 
Lonoak RD x Airline Hwy, 11 miles east of King City
State DPA, SRA, San Benito Monterey Unit",Finalized,35ba5eb8-520f-4660-af60-9e0e00e7b42b,2019,6,6,"(36.284259999999996, -120.94771000000001)",67.5,6.0,June
2534.0,CAL FIRE Tehama-Glenn Unit,,Tehama,52,2019-11-14T18:02:00Z,4.0,40.036379,-122.637837,"Colyer Springs Rd and Raglin Ridge Rd, southwest of Red Bluff",Ranch Fire,100.0,69.0,"The Ranch Fire started November 3, 2019 off Colyer Springs Road and Raglin Ridge Road, southwest of Red Bluff in Tehama County.",Finalized,69d98a94-4980-4dc0-b388-61c37c635f32,2019,11,11,"(40.036379, -122.637837)",54.6,11.0,November
2512.0,CAL FIRE Sonoma-Lake-Napa Unit,,Yolo,57,2019-06-17T10:40:00Z,2.0,38.88978,-122.23921999999999,Guinda,Sand Fire,100.0,,"The Sand Fire started on June 8, 2019 off County Road & Hwy 16, Rumsey (Yolo County). Contained 06-15-2019",Finalized,1760d7f8-57a2-4a04-b7e5-0861cc0ee963,2019,6,6,"(38.88978, -122.23921999999999)",75.3,6.0,June
2500.0,Kern County Fire and the US Fish and Wildlife Service,,Kern,15,2019-05-09T09:37:00Z,,35.72057,-119.62762,"off Twisselmen Road, in the Kern National Wildlife Refuge,15 miles west of Delano",Refuge Fire,100.0,,"Refuge Fire started on May 7, 2019 in the Kern National Wildlife Refuge in Kern County. The fire burned 2,500 acres and is now 100% contained.",Finalized,6f329208-5aa0-45fc-a4ec-db9caf865ca7,2019,5,5,"(35.72057, -119.62762)",61.3,5.0,May
2438.0,Bureau of Land Management,,Lassen,18,2019-08-27T09:01:00Z,,39.892222,-120.02972199999999,"Off Highway 395 and Red Rock Road, North of Hallelujah Junction",Long Valley Fire ,100.0,,"Long Valley Fire off Highway 395 and Red Rock Road, North of Hallelujah Junction in Lassen County.",Finalized,2ce810c9-88f1-4efe-9254-8cbd339d2397,2019,8,8,"(39.892222, -120.02972199999999)",67.3,8.0,August
2422.0,CAL FIRE ,Del Puerto Canyon Rd remains closed,Stanislaus,50,2019-06-27T19:06:00Z,,37.46577,-121.28312,"Del Puerto Canyon Rd, east of Patterson  ",Rock Fire,100.0,,"The Rock Fire started on June 25, 2019 off Del Puerto Canyon Rd, west of Patterson in Stanislaus County.",Finalized,4edb5c7c-08d6-4ae0-b8b3-7bb471e26d8e,2019,6,7,"(37.46577, -121.28312)",74.8,6.0,June
1975.0,USFS - Inyo National Forest ,,Inyo,14,2019-11-21T16:08:00Z,,36.284,-118.228,"Golden Trout Wilderness, Inyo National Forest",Cow Fire,100.0,,"Cow Fire started on July 25, 2019 in Golden Trout Wilderness, Inyo National Forest in Inyo County.",Finalized,c3b236b9-3a1d-481d-b1eb-b0aa77c5b462,2019,9,1,"(36.284, -118.228)",72.5,9.0,September
1926.0,CAL FIRE/Riverside County Fire Department ,"<p> Firefighters continued patrol status and will continue containment and mop up operations for the next several days. Additionally firefighters are continuing suppression repair activities in the area. Please continue to be cautious while driving in the area as fire apparatus will remain working in the area.</p>

<p>For the latest evacuation information:  <a href=""http://rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4504"">Tenaja Incident Information</a></p>

<p><a href=""https://countyofriverside.maps.arcgis.com/apps/webappviewer/index.html?id=0b92d93e12d34bf29b8c0d5e28b95815"">Interactive Evacuation Map</a></p>",Riverside,33,2019-09-14T19:00:00Z,3.0,33.528469,-117.27315700000001,"Tenaja Road and Clinton Keith Road, in La Cresta",Tenaja,100.0,35.0,"The Tenaja Fire started September 4, 2019 off Tenaja Road and Clinton Keith Road, in La Cresta in Riverside County.",Finalized,f68808fb-a705-4083-a136-1a45c61c7f74,2019,9,9,"(33.528469, -117.27315700000001)",79.9,9.0,September
1872.0,Klamath National Forest,,Siskiyou,47,,,41.862237,-122.66225800000001,"Ash Creek and Highway 96, Southwest of Hornbrook",Lime Fire,100.0,515.0,,Finalized,5c74d3fc-eaeb-4a75-9a07-5f8af961237b,2019,9,10,"(41.862237, -122.66225800000001)",57.5,9.0,September
1764.0,CAL FIRE San Luis Obispo County ,,San Luis Obispo,40,2019-06-24T10:25:00Z,,35.66318,-120.41128,"Highway 46 East and McMillan Canyon Road, North of Shandon",McMillan Fire,100.0,,"#McMillanFire off HWY 46 East and McMillan Canyon Road, North of Shandon in San Luis Obispo County. This fire was contained on June 14, 2019.",Finalized,88a285bc-0dc7-4c51-a35a-5026850b0a6d,2019,6,6,"(35.66318, -120.41128)",68.9,6.0,June
1507.0,Unified Command: CAL FIRE and Mexican Fire Agency Consulate Emergency Services Fire Department,,Mexico,62,2019-08-17T14:30:00Z,,32.573437,-116.65873500000001,"City of Tecate, southeast of San Diego ",Border 8 Fire,100.0,,"The Border 8 Fire started on August 14, 2019 near Tecate Mexico.",Finalized,74b94fe9-3524-40ce-ac18-ee637bf66f15,2019,8,8,"(32.573437, -116.65873500000001)",,,
1350.0,Sutter County Fire Department,,Sutter,51,2019-06-17T15:16:00Z,,39.28926,-121.85906000000001,"North Butte Rd & West Butte Rd, northeast of Colusa",West Butte Fire,100.0,,"The West Butte Fire started on June 8, 2019 off North Butte Rd & West Butte Rd, northeast of Colusa in Sutter County. This fire was contained on June 10, 2019.",Finalized,23cee99c-662f-4409-80d0-b9eb3a6287b3,2019,6,6,"(39.28926, -121.85906000000001)",77.4,6.0,June
